"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1487","[swagLabs] sort item A to Z","chromium","Fri Sep 19 07:47:49 UTC 2025","passed","Fri Sep 19 07:47:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1184","[swagLabs] sort item low to high","chromium","Fri Sep 19 07:47:50 UTC 2025","passed","Fri Sep 19 07:47:51 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1452","[swagLabs] sort item Z to A","chromium","Fri Sep 19 07:47:49 UTC 2025","passed","Fri Sep 19 07:47:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","2930","verify user can continue shopping and add item again from your cart page","chromium","Fri Sep 19 07:47:55 UTC 2025","passed","Fri Sep 19 07:47:58 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","1994","verify user can remove item from cart","chromium","Fri Sep 19 07:47:54 UTC 2025","passed","Fri Sep 19 07:47:56 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","899","[login] login failed","chromium","Fri Sep 19 07:47:51 UTC 2025","passed","Fri Sep 19 07:47:52 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","842","[swagLabs] login with error user","chromium","Fri Sep 19 07:47:52 UTC 2025","passed","Fri Sep 19 07:47:53 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1101","[swagLabs] login successfully","chromium","Fri Sep 19 07:47:50 UTC 2025","passed","Fri Sep 19 07:47:51 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1758","verify user can navigate to Your Information page","chromium","Fri Sep 19 07:47:56 UTC 2025","passed","Fri Sep 19 07:47:58 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","1281","verify number items is selected in cart","chromium","Fri Sep 19 07:47:53 UTC 2025","passed","Fri Sep 19 07:47:54 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","6732","[swagLabs] login with performance glitch user","chromium","Fri Sep 19 07:47:51 UTC 2025","passed","Fri Sep 19 07:47:58 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1448","verify items name, description and price in your cart page","chromium","Fri Sep 19 07:47:53 UTC 2025","passed","Fri Sep 19 07:47:55 UTC 2025","Swag Labs Your Cart Feature","swagLabs/your-cart-feature.spec.ts","",""
"","842","[swagLabs] login with visual user","chromium","Fri Sep 19 07:47:52 UTC 2025","passed","Fri Sep 19 07:47:53 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1185","[swagLabs] sort item high to low","chromium","Fri Sep 19 07:47:50 UTC 2025","passed","Fri Sep 19 07:47:51 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
"","1258","verify error message is displayed with null input","chromium","Fri Sep 19 07:47:58 UTC 2025","passed","Fri Sep 19 07:47:59 UTC 2025","Swag Labs Your Information Feature","swagLabs/your-information.spec.ts","",""
"","956","[swagLabs] login with problem user","chromium","Fri Sep 19 07:47:51 UTC 2025","passed","Fri Sep 19 07:47:52 UTC 2025","Swaglabs login feature","swagLabs/login-feature.spec.ts","",""
"","1654","[swagLabs] verify cart display number is selected","chromium","Fri Sep 19 07:47:49 UTC 2025","passed","Fri Sep 19 07:47:50 UTC 2025","Swag Labs Tests","swagLabs/home-feature.spec.ts","",""
